2024-11-18 00:02:44.253 GMT,"postgres","postgres",35,"172.18.0.7:51774",673a8424.23,1,"authentication",2024-11-18 00:02:44 GMT,1/1,0,FATAL,28P01,"password authentication failed for user ""postgres""","Connection matched file ""/var/lib/postgresql/data/pg_hba.conf"" line 128: ""host all all all scram-sha-256""",,,,,,,"auth_failed, auth.c:321","","client backend",,0
2024-11-18 00:03:03.320 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,1,"idle",2024-11-18 00:03:02 GMT,2/2,0,LOG,00000,"statement: SET DateStyle=ISO; SET client_min_messages=notice; SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'; SET client_encoding='utf-8';",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.389 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,2,"SELECT",2024-11-18 00:03:02 GMT,2/2,0,LOG,00000,"AUDIT: SESSION,1,1,READ,SELECT,,,""SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'"",<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.396 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,3,"SET",2024-11-18 00:03:02 GMT,2/0,0,LOG,00000,"duration: 77.653 ms",,,,,,,,"exec_simple_query, postgres.c:1368","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.398 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,4,"idle",2024-11-18 00:03:02 GMT,2/3,0,LOG,00000,"statement: SELECT version()",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.401 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,5,"SELECT",2024-11-18 00:03:02 GMT,2/3,0,LOG,00000,"AUDIT: SESSION,2,1,READ,SELECT,,,SELECT version(),<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.401 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,6,"SELECT",2024-11-18 00:03:02 GMT,2/0,0,LOG,00000,"duration: 3.762 ms",,,,,,,,"exec_simple_query, postgres.c:1368","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.403 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,7,"idle",2024-11-18 00:03:02 GMT,2/4,0,LOG,00000,"statement: 
SELECT
    db.oid as did, db.datname, db.datallowconn,
    pg_encoding_to_char(db.encoding) AS serverencoding,
    has_database_privilege(db.oid, 'CREATE') as cancreate,
    datistemplate
FROM
    pg_catalog.pg_database db
WHERE db.datname = current_database()",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.462 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,8,"SELECT",2024-11-18 00:03:02 GMT,2/4,0,LOG,00000,"AUDIT: SESSION,3,1,READ,SELECT,,,""SELECT
    db.oid as did, db.datname, db.datallowconn,
    pg_encoding_to_char(db.encoding) AS serverencoding,
    has_database_privilege(db.oid, 'CREATE') as cancreate,
    datistemplate
FROM
    pg_catalog.pg_database db
WHERE db.datname = current_database()"",<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.467 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,9,"SELECT",2024-11-18 00:03:02 GMT,2/0,0,LOG,00000,"duration: 64.283 ms",,,,,,,,"exec_simple_query, postgres.c:1368","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.468 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,10,"idle",2024-11-18 00:03:02 GMT,2/5,0,LOG,00000,"statement: 
        SELECT
             gss_authenticated, encrypted
        FROM
            pg_catalog.pg_stat_gssapi
        WHERE pid = pg_backend_pid()",,,,,,,,"exec_simple_query, postgres.c:1075","pgAdmin 4 - DB:postgres","client backend",,0
2024-11-18 00:03:03.483 GMT,"postgres","postgres",36,"172.18.0.7:39914",673a8436.24,11,"SELECT",2024-11-18 00:03:02 GMT,2/5,0,LOG,00000,"AUDIT: SESSION,4,1,READ,SELECT,,,""SELECT
             gss_authenticated, encrypted
        FROM
            pg_catalog.pg_stat_gssapi
        WHERE pid = pg_backend_pid()"",<not logged>",,,,,,,,"log_audit_event, pgaudit.c:875","pgAdmin 4 - DB:postgres","client backend",,0
